timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw
1769252404334,-0.9892578,-0.115234375,-0.05859375,0.0,1.159668,-0.18310547,0.0,0.0,0.0,-116.900024,82.265625,-81.00769
1769252404346,-0.9892578,-0.115234375,-0.05859375,0.0,1.159668,-0.18310547,0.0,0.0,0.0,-117.60315,82.19971,-81.65588
1769252404434,-0.9902344,-0.111328125,-0.07470703,3.3569336,-2.8076172,0.7324219,0.0,0.0,0.0,-117.60315,82.19971,-81.65588
1769252404446,-0.9902344,-0.111328125,-0.07470703,3.3569336,-2.8076172,0.7324219,0.0,0.0,0.0,-117.4823,82.22717,-81.61743
1769252404534,-1.0092773,-0.123046875,-0.045410156,1.6479492,-0.061035156,0.48828125,0.0,0.0,0.0,-117.4823,82.22717,-81.61743
1769252404546,-1.0092773,-0.123046875,-0.045410156,1.6479492,-0.061035156,0.48828125,0.0,0.0,0.0,-115.41138,82.457886,-79.81018
1769252404635,-1.0048828,-0.119628906,-0.037597656,-2.1362305,5.554199,-0.36621094,0.0,0.0,0.0,-115.41138,82.457886,-79.81018
1769252404645,-1.0048828,-0.119628906,-0.037597656,-2.1362305,5.554199,-0.36621094,0.0,0.0,0.0,-117.24609,82.33154,-81.62842
1769252404733,-0.98046875,-0.10253906,-0.061035156,-4.272461,5.065918,-1.7700195,0.0,0.0,0.0,-117.24609,82.33154,-81.62842
1769252404745,-0.98046875,-0.10253906,-0.061035156,-4.272461,5.065918,-1.7700195,0.0,0.0,0.0,-120.81116,81.94702,-84.869385
1769252404836,-0.98046875,-0.10888672,-0.07519531,-3.540039,2.1362305,-2.0751953,0.0,0.0,0.0,-120.81116,81.94702,-84.869385
1769252404846,-0.98046875,-0.10888672,-0.07519531,-3.540039,2.1362305,-2.0751953,0.0,0.0,0.0,-122.684326,81.58447,-86.36902
1769252404933,-0.9902344,-0.111816406,-0.10205078,1.7700195,-7.1411133,1.159668,0.0,0.0,0.0,-122.684326,81.58447,-86.36902
1769252404944,-0.9902344,-0.111816406,-0.10205078,1.7700195,-7.1411133,1.159668,0.0,0.0,0.0,-121.61865,81.62842,-85.177
1769252405032,-1.0019531,-0.12646484,-0.0546875,3.2348633,-5.3100586,1.2817383,0.0,0.0,0.0,-121.61865,81.62842,-85.177
1769252405044,-1.0019531,-0.12646484,-0.0546875,3.2348633,-5.3100586,1.2817383,0.0,0.0,0.0,-117.68555,82.10083,-81.50757
1769252405132,-0.99365234,-0.11376953,-0.041992188,2.1362305,-4.5166016,0.061035156,0.0,0.0,0.0,-117.68555,82.10083,-81.50757
1769252405143,-0.99365234,-0.11376953,-0.041992188,2.1362305,-4.5166016,0.061035156,0.0,0.0,0.0,-115.08728,82.32056,-79.13452
1769252405232,-0.98828125,-0.12109375,-0.044433594,3.8452148,-1.2207031,-1.7089844,0.0,0.0,0.0,-115.08728,82.32056,-79.13452
1769252405244,-0.98828125,-0.12109375,-0.044433594,3.8452148,-1.2207031,-1.7089844,0.0,0.0,0.0,-112.1814,82.32605,-76.54175
1769252405331,-0.99609375,-0.123535156,-0.049316406,-2.9907227,-1.953125,-0.18310547,0.0,0.0,0.0,-112.1814,82.32605,-76.54175
1769252405343,-0.99609375,-0.123535156,-0.049316406,-2.9907227,-1.953125,-0.18310547,0.0,0.0,0.0,-110.62134,82.298584,-74.89929
1769252405431,-0.99121094,-0.11425781,-0.04736328,-1.4648438,-0.91552734,0.24414062,0.0,0.0,0.0,-110.62134,82.298584,-74.89929
1769252405443,-0.99121094,-0.11425781,-0.04736328,-1.4648438,-0.91552734,0.24414062,0.0,0.0,0.0,-110.23132,82.337036,-74.26758
1769252405531,-0.99121094,-0.1171875,-0.048828125,2.0141602,-1.953125,0.6713867,0.0,0.0,0.0,-110.23132,82.337036,-74.26758
1769252405543,-0.99121094,-0.1171875,-0.048828125,2.0141602,-1.953125,0.6713867,0.0,0.0,0.0,-109.57214,82.42493,-73.66882
1769252405631,-0.9946289,-0.125,-0.038085938,1.2817383,-1.5869141,0.24414062,0.0,0.0,0.0,-109.57214,82.42493,-73.66882
1769252405642,-0.9946289,-0.125,-0.038085938,1.2817383,-1.5869141,0.24414062,0.0,0.0,0.0,-108.21533,82.53479,-72.46033
1769252405730,-0.99609375,-0.12158203,-0.037109375,0.36621094,-0.6713867,0.18310547,0.0,0.0,0.0,-108.21533,82.53479,-72.46033
1769252405742,-0.99609375,-0.12158203,-0.037109375,0.36621094,-0.6713867,0.18310547,0.0,0.0,0.0,-107.30347,82.6062,-71.570435
1769252405830,-1.0024414,-0.11767578,-0.041992188,0.18310547,-2.319336,0.4272461,0.0,0.0,0.0,-107.30347,82.6062,-71.570435
1769252405841,-1.0024414,-0.11767578,-0.041992188,0.18310547,-2.319336,0.4272461,0.0,0.0,0.0,-105.30945,82.732544,-69.51599
1769252405930,-0.9897461,-0.11425781,-0.020507812,-0.4272461,-0.30517578,-0.12207031,0.0,0.0,0.0,-105.30945,82.732544,-69.51599
1769252405941,-0.9897461,-0.11425781,-0.020507812,-0.4272461,-0.30517578,-0.12207031,0.0,0.0,0.0,-104.82605,82.76001,-69.04358
1769252406029,-0.9902344,-0.11767578,-0.021972656,1.5258789,1.4648438,-0.12207031,0.0,0.0,0.0,-104.82605,82.76001,-69.04358
1769252406041,-0.9902344,-0.11767578,-0.021972656,1.5258789,1.4648438,-0.12207031,0.0,0.0,0.0,-104.97986,82.787476,-69.30176
1769252406129,-1.0058594,-0.11425781,-0.037597656,-0.7324219,-3.90625,0.5493164,0.0,0.0,0.0,-104.97986,82.787476,-69.30176
1769252406140,-1.0058594,-0.11425781,-0.037597656,-0.7324219,-3.90625,0.5493164,0.0,0.0,0.0,-102.9364,82.86438,-67.318726
1769252406229,-0.99121094,-0.110839844,-0.01171875,-0.061035156,-1.5258789,0.5493164,0.0,0.0,0.0,-102.9364,82.86438,-67.318726
1769252406240,-0.99121094,-0.110839844,-0.01171875,-0.061035156,-1.5258789,0.5493164,0.0,0.0,0.0,-101.431274,82.93579,-65.86304
1769252406328,-0.9980469,-0.11425781,-0.020996094,0.061035156,-0.5493164,0.18310547,0.0,0.0,0.0,-101.431274,82.93579,-65.86304
