DateTime,UnixTimestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Roll,Pitch,Yaw
2026-04-19 23:39:45.549,1776613185549,-0.9848633,-0.056640625,-0.18603516,-1.2817383,1.5869141,0.061035156,0.0,0.0,0.0,-162.70203,78.20068,157.58789
2026-04-19 23:39:45.637,1776613185637,-0.97998047,-0.05859375,-0.18457031,-1.2817383,0.6713867,0.0,0.0,0.0,0.0,-162.70203,78.20068,157.58789
2026-04-19 23:39:45.648,1776613185648,-0.97998047,-0.05859375,-0.18457031,-1.2817383,0.6713867,0.0,0.0,0.0,0.0,-163.02063,78.11279,157.36267
2026-04-19 23:39:45.737,1776613185737,-0.9711914,-0.06201172,-0.17578125,-2.380371,-0.12207031,0.30517578,0.0,0.0,0.0,-163.02063,78.11279,157.36267
2026-04-19 23:39:45.748,1776613185748,-0.9711914,-0.06201172,-0.17578125,-2.380371,-0.12207031,0.30517578,0.0,0.0,0.0,-163.30078,78.12927,157.18689
2026-04-19 23:39:45.837,1776613185837,-0.9628906,-0.053222656,-0.1586914,0.4272461,-1.5869141,0.18310547,0.0,0.0,0.0,-163.30078,78.12927,157.18689
2026-04-19 23:39:45.848,1776613185848,-0.9628906,-0.053222656,-0.1586914,0.4272461,-1.5869141,0.18310547,0.0,0.0,0.0,-163.26782,78.288574,157.23083
2026-04-19 23:39:45.936,1776613185936,-0.98291016,-0.059570312,-0.17773438,0.7324219,-4.638672,0.0,0.0,0.0,0.0,-163.26782,78.288574,157.23083
2026-04-19 23:39:45.948,1776613185948,-0.98291016,-0.059570312,-0.17773438,0.7324219,-4.638672,0.0,0.0,0.0,0.0,-162.53723,78.76099,157.80762
2026-04-19 23:39:46.036,1776613186036,-0.99560547,-0.05810547,-0.19091797,-0.4272461,-1.6479492,0.4272461,0.0,0.0,0.0,-162.53723,78.76099,157.80762
2026-04-19 23:39:46.047,1776613186047,-0.99560547,-0.05810547,-0.19091797,-0.4272461,-1.6479492,0.4272461,0.0,0.0,0.0,-162.10876,79.02466,158.10974
2026-04-19 23:39:46.136,1776613186136,-0.9873047,-0.05419922,-0.17919922,-0.12207031,-0.9765625,0.30517578,0.0,0.0,0.0,-162.10876,79.02466,158.10974
2026-04-19 23:39:46.147,1776613186147,-0.9873047,-0.05419922,-0.17919922,-0.12207031,-0.9765625,0.30517578,0.0,0.0,0.0,-162.05933,79.107056,158.12073
2026-04-19 23:39:46.235,1776613186235,-0.98535156,-0.05517578,-0.16552734,0.0,-1.2817383,0.30517578,0.0,0.0,0.0,-162.05933,79.107056,158.12073
2026-04-19 23:39:46.247,1776613186247,-0.98535156,-0.05517578,-0.16552734,0.0,-1.2817383,0.30517578,0.0,0.0,0.0,-162.11426,79.20044,158.0603
2026-04-19 23:39:46.335,1776613186335,-0.99121094,-0.0546875,-0.16748047,-0.30517578,-0.8544922,0.18310547,0.0,0.0,0.0,-162.11426,79.20044,158.0603
2026-04-19 23:39:46.346,1776613186346,-0.99121094,-0.0546875,-0.16748047,-0.30517578,-0.8544922,0.18310547,0.0,0.0,0.0,-161.94397,79.3103,158.18665
2026-04-19 23:39:46.435,1776613186435,-0.98828125,-0.05419922,-0.17138672,0.6713867,-0.24414062,-0.061035156,0.0,0.0,0.0,-161.94397,79.3103,158.18665
2026-04-19 23:39:46.446,1776613186446,-0.98828125,-0.05419922,-0.17138672,0.6713867,-0.24414062,-0.061035156,0.0,0.0,0.0,-161.90002,79.381714,158.2251
