timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw
1766813059618,-0.9511719,0.21191406,-0.2607422,0.61035156,0.36621094,-0.5493164,0.0,0.0,0.0,141.49292,70.14221,-103.32092
1766813059630,-0.9511719,0.21191406,-0.2607422,0.61035156,0.36621094,-0.5493164,0.0,0.0,0.0,141.37756,70.164185,-103.430786
1766813059718,-0.94091797,0.21386719,-0.26611328,-0.30517578,-0.4272461,-0.48828125,0.0,0.0,0.0,141.37756,70.164185,-103.430786
1766813059730,-0.94091797,0.21386719,-0.26611328,-0.30517578,-0.4272461,-0.48828125,0.0,0.0,0.0,141.5094,70.18616,-103.287964
1766813059819,-0.9472656,0.21728516,-0.26123047,0.36621094,0.12207031,-0.9765625,0.0,0.0,0.0,141.5094,70.18616,-103.287964
1766813059829,-0.9472656,0.21728516,-0.26123047,0.36621094,0.12207031,-0.9765625,0.0,0.0,0.0,141.69617,70.21912,-103.0957
1766813059918,-0.9428711,0.2109375,-0.26416016,0.0,-0.4272461,-0.36621094,0.0,0.0,0.0,141.69617,70.21912,-103.0957
1766813059929,-0.9428711,0.2109375,-0.26416016,0.0,-0.4272461,-0.36621094,0.0,0.0,0.0,141.84448,70.25757,-102.941895
1766813060018,-0.94433594,0.2109375,-0.25976562,0.061035156,-0.12207031,-0.30517578,0.0,0.0,0.0,141.84448,70.25757,-102.941895
1766813060028,-0.94433594,0.2109375,-0.25976562,0.061035156,-0.12207031,-0.30517578,0.0,0.0,0.0,141.8335,70.29053,-102.93091
1766813060117,-0.94433594,0.21044922,-0.26367188,0.7324219,-0.5493164,-0.91552734,0.0,0.0,0.0,141.8335,70.29053,-102.93091
1766813060129,-0.94433594,0.21044922,-0.26367188,0.7324219,-0.5493164,-0.91552734,0.0,0.0,0.0,141.99829,70.33447,-102.81006
1766813060217,-0.94628906,0.2109375,-0.26171875,0.24414062,-0.24414062,-0.61035156,0.0,0.0,0.0,141.99829,70.33447,-102.81006
1766813060229,-0.94628906,0.2109375,-0.26171875,0.24414062,-0.24414062,-0.61035156,0.0,0.0,0.0,142.11365,70.40039,-102.70569
1766813060316,-0.9477539,0.20800781,-0.26367188,0.30517578,-0.18310547,-0.36621094,0.0,0.0,0.0,142.11365,70.40039,-102.70569
1766813060327,-0.9477539,0.20800781,-0.26367188,0.30517578,-0.18310547,-0.36621094,0.0,0.0,0.0,142.19604,70.43335,-102.63977
1766813060416,-0.94433594,0.20751953,-0.26416016,0.061035156,0.0,-0.24414062,0.0,0.0,0.0,142.19604,70.43335,-102.63977
1766813060427,-0.94433594,0.20751953,-0.26416016,0.061035156,0.0,-0.24414062,0.0,0.0,0.0,142.32788,70.444336,-102.52991
1766813060515,-0.94433594,0.20800781,-0.2607422,0.61035156,0.24414062,-0.5493164,0.0,0.0,0.0,142.32788,70.444336,-102.52991
1766813060527,-0.94433594,0.20800781,-0.2607422,0.61035156,0.24414062,-0.5493164,0.0,0.0,0.0,142.37732,70.460815,-102.48047
1766813060615,-0.9472656,0.20654297,-0.26416016,0.18310547,0.0,-0.36621094,0.0,0.0,0.0,142.37732,70.460815,-102.48047
1766813060627,-0.9472656,0.20654297,-0.26416016,0.18310547,0.0,-0.36621094,0.0,0.0,0.0,142.50366,70.48279,-102.36511
1766813060715,-0.9458008,0.2055664,-0.2631836,-0.061035156,-0.12207031,-0.24414062,0.0,0.0,0.0,142.50366,70.48279,-102.36511
1766813060727,-0.9458008,0.2055664,-0.2631836,-0.061035156,-0.12207031,-0.24414062,0.0,0.0,0.0,142.56958,70.48279,-102.2937
1766813060815,-0.94628906,0.20458984,-0.2626953,-0.12207031,-0.12207031,-0.18310547,0.0,0.0,0.0,142.56958,70.48279,-102.2937
1766813060826,-0.94628906,0.20458984,-0.2626953,-0.12207031,-0.12207031,-0.18310547,0.0,0.0,0.0,142.58057,70.49927,-102.26074
1766813060914,-0.94677734,0.20507812,-0.2626953,-0.061035156,0.0,-0.18310547,0.0,0.0,0.0,142.58057,70.49927,-102.26074
1766813060926,-0.94677734,0.20507812,-0.2626953,-0.061035156,0.0,-0.18310547,0.0,0.0,0.0,142.60254,70.49927,-102.22778
1766813061014,-0.9458008,0.20605469,-0.26171875,0.0,0.0,-0.18310547,0.0,0.0,0.0,142.60254,70.49927,-102.22778
1766813061026,-0.9458008,0.20605469,-0.26171875,0.0,0.0,-0.18310547,0.0,0.0,0.0,142.61353,70.49927,-102.20581
1766813061114,-0.9453125,0.20507812,-0.2631836,-0.12207031,0.0,-0.12207031,0.0,0.0,0.0,142.61353,70.49927,-102.20581
1766813061125,-0.9453125,0.20507812,-0.2631836,-0.12207031,0.0,-0.12207031,0.0,0.0,0.0,142.64099,70.49927,-102.15637
1766813061213,-0.9458008,0.20507812,-0.26416016,0.0,0.0,-0.18310547,0.0,0.0,0.0,142.64099,70.49927,-102.15637
1766813061225,-0.9458008,0.20507812,-0.26416016,0.0,0.0,-0.18310547,0.0,0.0,0.0,142.65198,70.49927,-102.1344
1766813061313,-0.9448242,0.20800781,-0.2631836,-0.061035156,-0.30517578,0.0,0.0,0.0,0.0,142.65198,70.49927,-102.1344
1766813061325,-0.9448242,0.20800781,-0.2631836,-0.061035156,-0.30517578,0.0,0.0,0.0,0.0,142.65747,70.493774,-102.12341
1766813061413,-0.9453125,0.20605469,-0.26367188,0.12207031,0.30517578,0.0,0.0,0.0,0.0,142.65747,70.493774,-102.12341
1766813061425,-0.9453125,0.20605469,-0.26367188,0.12207031,0.30517578,0.0,0.0,0.0,0.0,142.65747,70.48279,-102.11792
1766813061513,-0.94628906,0.20605469,-0.26513672,-0.4272461,0.12207031,0.4272461,0.0,0.0,0.0,142.65747,70.48279,-102.11792
1766813061524,-0.94628906,0.20605469,-0.26513672,-0.4272461,0.12207031,0.4272461,0.0,0.0,0.0,142.59705,70.43335,-102.15088
1766813061612,-0.9458008,0.20654297,-0.26416016,-0.79345703,0.0,0.4272461,0.0,0.0,0.0,142.59705,70.43335,-102.15088
1766813061624,-0.9458008,0.20654297,-0.26416016,-0.79345703,0.0,0.4272461,0.0,0.0,0.0,142.45972,70.40039,-102.23328
1766813061712,-0.94677734,0.2084961,-0.2626953,-0.79345703,0.0,0.36621094,0.0,0.0,0.0,142.45972,70.40039,-102.23328
1766813061723,-0.94677734,0.2084961,-0.2626953,-0.79345703,0.0,0.36621094,0.0,0.0,0.0,142.29492,70.36743,-102.32666
1766813061812,-0.9453125,0.20996094,-0.2626953,-0.6713867,0.18310547,0.4272461,0.0,0.0,0.0,142.29492,70.36743,-102.32666
1766813061823,-0.9453125,0.20996094,-0.2626953,-0.6713867,0.18310547,0.4272461,0.0,0.0,0.0,142.1576,70.33447,-102.39807
1766813061911,-0.9458008,0.2109375,-0.2626953,-0.6713867,0.12207031,0.4272461,0.0,0.0,0.0,142.1576,70.33447,-102.39807
1766813061923,-0.9458008,0.2109375,-0.2626953,-0.6713867,0.12207031,0.4272461,0.0,0.0,0.0,142.02576,70.285034,-102.46399
1766813062011,-0.9448242,0.21240234,-0.26416016,-0.61035156,0.18310547,0.4272461,0.0,0.0,0.0,142.02576,70.285034,-102.46399
1766813062023,-0.9448242,0.21240234,-0.26416016,-0.61035156,0.18310547,0.4272461,0.0,0.0,0.0,141.89392,70.2301,-102.52991
1766813062111,-0.9453125,0.21289062,-0.265625,-0.48828125,0.0,0.36621094,0.0,0.0,0.0,141.89392,70.2301,-102.52991
1766813062122,-0.9453125,0.21289062,-0.265625,-0.48828125,0.0,0.36621094,0.0,0.0,0.0,141.77307,70.180664,-102.595825
1766813062211,-0.9394531,0.21435547,-0.26367188,-0.6713867,-0.30517578,0.48828125,0.0,0.0,0.0,141.77307,70.180664,-102.595825
1766813062222,-0.9394531,0.21435547,-0.26367188,-0.6713867,-0.30517578,0.48828125,0.0,0.0,0.0,141.67969,70.13672,-102.64526
1766813062310,-0.9399414,0.21533203,-0.26220703,0.24414062,0.5493164,-0.24414062,0.0,0.0,0.0,141.67969,70.13672,-102.64526
1766813062322,-0.9399414,0.21533203,-0.26220703,0.24414062,0.5493164,-0.24414062,0.0,0.0,0.0,141.63574,70.131226,-102.66174
1766813062410,-0.9433594,0.21386719,-0.26416016,0.24414062,0.0,-0.4272461,0.0,0.0,0.0,141.63574,70.131226,-102.66174
1766813062421,-0.9433594,0.21386719,-0.26416016,0.24414062,0.0,-0.4272461,0.0,0.0,0.0,141.6687,70.131226,-102.612305
1766813062510,-0.94433594,0.2133789,-0.26611328,0.24414062,-0.12207031,-0.6713867,0.0,0.0,0.0,141.6687,70.131226,-102.612305
1766813062521,-0.94433594,0.2133789,-0.26611328,0.24414062,-0.12207031,-0.6713867,0.0,0.0,0.0,141.76758,70.15869,-102.49695
1766813062609,-0.94384766,0.21289062,-0.26367188,0.12207031,-0.36621094,-0.7324219,0.0,0.0,0.0,141.76758,70.15869,-102.49695
1766813062621,-0.94384766,0.21289062,-0.26367188,0.12207031,-0.36621094,-0.7324219,0.0,0.0,0.0,141.9049,70.21362,-102.36511
1766813062709,-0.9453125,0.2109375,-0.26416016,0.30517578,-0.4272461,-0.7324219,0.0,0.0,0.0,141.9049,70.21362,-102.36511
1766813062721,-0.9453125,0.2109375,-0.26416016,0.30517578,-0.4272461,-0.7324219,0.0,0.0,0.0,142.02576,70.27405,-102.25525
1766813062809,-0.9453125,0.21044922,-0.2631836,0.18310547,-0.36621094,-0.61035156,0.0,0.0,0.0,142.02576,70.27405,-102.25525
1766813062820,-0.9453125,0.21044922,-0.2631836,0.18310547,-0.36621094,-0.61035156,0.0,0.0,0.0,142.11914,70.32898,-102.17285
