timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw
1768707343613,-0.9477539,0.31640625,-0.072265625,-0.24414062,0.4272461,0.30517578,0.0,0.0,0.0,103.72742,70.22461,136.34583
1768707343701,-0.9477539,0.3203125,-0.076171875,-0.5493164,0.30517578,0.36621094,0.0,0.0,0.0,103.72742,70.22461,136.34583
1768707343712,-0.9477539,0.3203125,-0.076171875,-0.5493164,0.30517578,0.36621094,0.0,0.0,0.0,103.76587,70.22461,136.42822
1768707343800,-0.9482422,0.31445312,-0.072265625,-0.24414062,0.48828125,0.30517578,0.0,0.0,0.0,103.76587,70.22461,136.42822
1768707343812,-0.9482422,0.31445312,-0.072265625,-0.24414062,0.48828125,0.30517578,0.0,0.0,0.0,103.7439,70.22461,136.45569
1768707343900,-0.95166016,0.31689453,-0.076171875,-0.6713867,-0.18310547,0.36621094,0.0,0.0,0.0,103.7439,70.22461,136.45569
1768707343912,-0.95166016,0.31689453,-0.076171875,-0.6713867,-0.18310547,0.36621094,0.0,0.0,0.0,103.68347,70.235596,136.4447
1768707344000,-0.94970703,0.3178711,-0.07373047,-0.12207031,0.0,0.30517578,0.0,0.0,0.0,103.68347,70.235596,136.4447
1768707344013,-0.94970703,0.3178711,-0.07373047,-0.12207031,0.0,0.30517578,0.0,0.0,0.0,103.688965,70.235596,136.47217
1768707344099,-0.9482422,0.31591797,-0.072753906,-0.61035156,0.36621094,0.36621094,0.0,0.0,0.0,103.688965,70.235596,136.47217
1768707344111,-0.9482422,0.31591797,-0.072753906,-0.61035156,0.36621094,0.36621094,0.0,0.0,0.0,103.656006,70.235596,136.47766
1768707344199,-0.9526367,0.3178711,-0.075683594,-0.48828125,0.0,0.24414062,0.0,0.0,0.0,103.656006,70.235596,136.47766
1768707344211,-0.9526367,0.3178711,-0.075683594,-0.48828125,0.0,0.24414062,0.0,0.0,0.0,103.61206,70.2301,136.48865
1768707344299,-0.9506836,0.31640625,-0.07373047,-0.4272461,0.91552734,0.79345703,0.0,0.0,0.0,103.61206,70.2301,136.48865
1768707344310,-0.9506836,0.31640625,-0.07373047,-0.4272461,0.91552734,0.79345703,0.0,0.0,0.0,103.73291,70.20813,136.66443
1768707344399,-0.9482422,0.3178711,-0.076660156,-0.9765625,1.5258789,0.6713867,0.0,0.0,0.0,103.73291,70.20813,136.66443
1768707344410,-0.9482422,0.3178711,-0.076660156,-0.9765625,1.5258789,0.6713867,0.0,0.0,0.0,103.930664,70.14221,136.93909
1768707344498,-0.9477539,0.32177734,-0.07470703,-0.7324219,1.0986328,0.6713867,0.0,0.0,0.0,103.930664,70.14221,136.93909
1768707344510,-0.9477539,0.32177734,-0.07470703,-0.7324219,1.0986328,0.6713867,0.0,0.0,0.0,104.08447,70.08179,137.1753
1768707344598,-0.94628906,0.3203125,-0.079589844,-0.9765625,1.5869141,0.7324219,0.0,0.0,0.0,104.08447,70.08179,137.1753
1768707344610,-0.94628906,0.3203125,-0.079589844,-0.9765625,1.5869141,0.7324219,0.0,0.0,0.0,104.331665,70.00488,137.47192
1768707344698,-0.9458008,0.32177734,-0.07861328,-1.0375977,1.5869141,0.8544922,0.0,0.0,0.0,104.331665,70.00488,137.47192
1768707344709,-0.9458008,0.32177734,-0.07861328,-1.0375977,1.5869141,0.8544922,0.0,0.0,0.0,104.58435,69.93347,137.807
1768707344798,-0.9453125,0.31884766,-0.080078125,-1.0986328,1.4038086,0.6713867,0.0,0.0,0.0,104.58435,69.93347,137.807
1768707344809,-0.9453125,0.31884766,-0.080078125,-1.0986328,1.4038086,0.6713867,0.0,0.0,0.0,104.74365,69.86755,138.03772
1768707344898,-0.9506836,0.32421875,-0.08300781,-0.61035156,0.12207031,0.24414062,0.0,0.0,0.0,104.74365,69.86755,138.03772
1768707344909,-0.9506836,0.32421875,-0.08300781,-0.61035156,0.12207031,0.24414062,0.0,0.0,0.0,104.84253,69.86206,138.1311
1768707344997,-0.9399414,0.3227539,-0.08154297,-0.61035156,0.18310547,0.24414062,0.0,0.0,0.0,104.84253,69.86206,138.1311
1768707345008,-0.9399414,0.3227539,-0.08154297,-0.61035156,0.18310547,0.24414062,0.0,0.0,0.0,104.886475,69.84009,138.17505
1768707345097,-0.94873047,0.32177734,-0.08251953,-0.18310547,-0.24414062,0.0,0.0,0.0,0.0,104.886475,69.84009,138.17505
1768707345108,-0.94873047,0.32177734,-0.08251953,-0.18310547,-0.24414062,0.0,0.0,0.0,0.0,104.84253,69.84558,138.08716
1768707345196,-0.9472656,0.32128906,-0.08251953,-0.4272461,0.24414062,0.36621094,0.0,0.0,0.0,104.84253,69.84558,138.08716
1768707345208,-0.9472656,0.32128906,-0.08251953,-0.4272461,0.24414062,0.36621094,0.0,0.0,0.0,104.82605,69.85657,138.02124
1768707345296,-0.94628906,0.31982422,-0.08154297,-0.12207031,-0.18310547,0.24414062,0.0,0.0,0.0,104.82605,69.85657,138.02124
1768707345308,-0.94628906,0.31982422,-0.08154297,-0.12207031,-0.18310547,0.24414062,0.0,0.0,0.0,104.798584,69.87305,137.92786
1768707345396,-0.9477539,0.32080078,-0.08105469,-0.24414062,0.0,0.24414062,0.0,0.0,0.0,104.798584,69.87305,137.92786
