time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0.2002,0.080754,0.447465,0.816579,0.355601,0.99996,-0.007296,0.00493,-0.001306,-0.014605,0.009841,-0.002683,0.001823,-0.000559,-0.000067,0.895322,0.161817,0.364182,-9.374476,15.587168,23.312191,11.852015,-3.979297,0.859445,7.389251
0.21021,0.080524,0.447753,0.816923,0.354499,0.999949,-0.008192,0.00574,-0.001392,-0.016401,0.011457,-0.002878,0.004201,-0.002602,0.001056,0.892359,0.164428,0.362313,-9.374476,15.587168,23.312191,13.591146,-4.187993,1.138694,7.601758
0.22022,0.080249,0.448078,0.817311,0.353255,0.999934,-0.009198,0.006668,-0.001486,-0.018416,0.013308,-0.003094,0.008189,0.001767,0.001116,0.893471,0.170208,0.365491,-9.292479,15.674945,23.396917,15.399841,-4.605384,1.347389,7.364251
0.23023,0.079906,0.448443,0.817776,0.351791,0.999915,-0.010376,0.007769,-0.00157,-0.020778,0.015506,-0.003301,0.008876,0.006761,0.002613,0.89773,0.175429,0.366426,-9.292479,15.674945,23.396917,18.182449,-5.161906,1.416954,7.501755
0.24024,0.079611,0.448756,0.818176,0.350525,0.999896,-0.011396,0.008719,-0.001641,-0.022823,0.0174,-0.00348,0.022183,0.014715,-0.004815,0.894952,0.185125,0.382877,-9.538471,15.674945,23.396917,15.817232,-4.466254,1.277824,7.514255
0.25025,0.079368,0.449065,0.818547,0.349316,0.999876,-0.012381,0.009598,-0.001737,-0.0248,0.019152,-0.003712,0.014411,0.003568,-0.002465,0.890878,0.179158,0.371847,-9.538471,15.674945,23.396917,14.84332,-4.67495,1.208259,7.226747
0.26026,0.079178,0.449393,0.818835,0.348263,0.999857,-0.013233,0.010364,-0.001892,-0.02651,0.020677,-0.004059,0.004323,-0.004252,-0.001766,0.890508,0.170581,0.361939,-9.456473,15.850498,23.227463,12.756363,-4.535819,1.695215,7.464254
0.27027,0.078994,0.449712,0.819099,0.347269,0.999838,-0.01403,0.011095,-0.002048,-0.028111,0.02213,-0.004408,-0.0018,-0.004426,0.000045,0.894396,0.167784,0.356518,-9.456473,15.850498,23.227463,12.060711,-4.257558,1.764781,7.264247
0.28028,0.078838,0.450019,0.819332,0.346356,0.999819,-0.014764,0.011758,-0.002212,-0.029587,0.023449,-0.004771,0.003214,0.000877,-0.002881,0.895322,0.1717,0.362874,-9.456473,16.289383,22.803829,11.017233,-4.118428,1.764781,7.539256
0.29029,0.078744,0.45034,0.819496,0.345572,0.999803,-0.015394,0.012314,-0.002429,-0.030855,0.02455,-0.005237,0.014658,0.011726,0.001575,0.89847,0.187549,0.369791,-9.456473,16.289383,22.803829,9.278102,-4.118428,2.182172,7.151744
0.3003,0.078706,0.450685,0.819573,0.344947,0.999789,-0.015885,0.012755,-0.002713,-0.031849,0.025421,-0.005832,0.019187,0.010377,0.008305,0.896248,0.195939,0.365678,-9.210482,16.201607,22.888557,7.191145,-3.979297,2.808259,7.364251
0.31031,0.078661,0.451053,0.819612,0.344384,0.999776,-0.016309,0.013179,-0.003024,-0.032707,0.026257,-0.006479,0.017621,0.004738,0.021762,0.895322,0.203025,0.350909,-9.210482,16.201607,22.888557,6.495493,-3.701036,3.295215,7.214246
0.32032,0.078608,0.451427,0.81964,0.343838,0.999762,-0.016709,0.013603,-0.003341,-0.03352,0.027092,-0.007137,0.013687,-0.001937,0.028685,0.893656,0.20377,0.338945,-9.046487,16.026052,22.719103,6.286798,-3.561906,3.434346,7.264247
0.33033,0.078582,0.451725,0.81972,0.343261,0.999748,-0.017172,0.013997,-0.003585,-0.034456,0.027868,-0.007653,0.011249,-0.005313,0.027604,0.892174,0.201533,0.335206,-9.046487,16.026052,22.719103,6.565059,-3.631471,2.321302,7.376751
0.34034,0.078653,0.451979,0.819812,0.34269,0.999734,-0.017682,0.014293,-0.003823,-0.035487,0.028447,-0.008154,0.015728,0.00246,0.021363,0.894767,0.204889,0.344366,-8.964489,16.026052,22.973284,6.078102,-4.327124,1.48652,7.551756
0.35035,0.078916,0.452217,0.81986,0.342203,0.999722,-0.018194,0.014386,-0.004131,-0.036519,0.028617,-0.008786,0.025787,0.009015,0.020674,0.894211,0.215517,0.35147,-8.964489,16.026052,22.973284,4.130276,-5.648863,0.929998,7.401752
0.36036,0.079248,0.452467,0.819907,0.341682,0.99971,-0.018762,0.014442,-0.004476,-0.037667,0.028712,-0.009496,0.024326,0.005968,0.015404,0.891804,0.211602,0.352218,-9.210482,16.289383,22.719103,4.060711,-6.55321,0.721302,7.376751
0.37037,0.079543,0.452748,0.820024,0.340959,0.999691,-0.019502,0.014636,-0.004819,-0.03916,0.029079,-0.01021,0.016263,-0.000927,0.017173,0.891434,0.206008,0.34231,-9.210482,16.289383,22.719103,6.425928,-7.318428,0.582172,7.326749
0.38038,0.079778,0.453024,0.820239,0.340018,0.999666,-0.020429,0.014982,-0.00511,-0.041028,0.029749,-0.010834,0.00632,-0.002655,0.007739,0.894396,0.193515,0.342497,-9.210482,16.289383,22.464922,9.138971,-7.805385,0.02565,7.276748
0.39039,0.079971,0.453272,0.820516,0.338972,0.999637,-0.021447,0.015403,-0.005344,-0.043077,0.03057,-0.01135,0.000233,-0.006284,-0.002238,0.893471,0.182328,0.343992,-9.210482,16.289383,22.464922,10.530276,-7.805385,-0.530872,7.376751
0.4004,0.080166,0.453506,0.820832,0.337846,0.999605,-0.022547,0.015856,-0.005555,-0.04529,0.031455,-0.011827,0.006811,-0.001228,-0.008043,0.892915,0.18587,0.352405,-8.882492,16.552713,22.295469,11.434624,-8.153211,-0.948263,7.551756
0.41041,0.080411,0.453761,0.821082,0.336838,0.999574,-0.023547,0.016219,-0.005823,-0.047304,0.032155,-0.012411,0.014891,0.001552,-0.004673,0.891248,0.195566,0.353526,-8.882492,16.552713,22.295469,9.834624,-8.153211,-0.461306,7.639259
0.42042,0.080719,0.454045,0.821247,0.335978,0.999547,-0.024421,0.016468,-0.006162,-0.049068,0.032625,-0.01313,0.022791,0.005517,0.002091,0.891248,0.207873,0.352592,-9.210482,16.201607,22.210743,7.817233,-8.153211,0.16478,7.326749
0.43043,0.081079,0.45433,0.821341,0.335276,0.999524,-0.025163,0.016598,-0.00654,-0.050568,0.032857,-0.013917,0.01728,0.008091,0.010094,0.898285,0.211042,0.343992,-9.210482,16.201607,22.210743,5.799841,-7.874949,0.512607,7.226747
0.44044,0.081479,0.454577,0.821398,0.334704,0.999505,-0.025808,0.016622,-0.006907,-0.051871,0.032877,-0.014674,0.00899,0.007934,0.010101,0.90347,0.206008,0.338945,-9.046487,16.552713,22.126015,4.199841,-7.457558,0.303911,7.639259
0.45045,0.081923,0.454775,0.821447,0.334206,0.999488,-0.026413,0.016558,-0.007249,-0.053093,0.032723,-0.015374,0.0009,-0.00277,0.011399,0.900137,0.197804,0.327728,-9.046487,16.552713,22.126015,3.156363,-7.318428,-0.252611,7.376751
0.46046,0.082431,0.45492,0.821479,0.333806,0.999474,-0.026965,0.016378,-0.00757,-0.054204,0.032336,-0.016024,-0.005432,-0.017796,0.015733,0.892545,0.190905,0.312585,-8.964489,16.289383,21.617655,1.695493,-7.248863,-0.878698,7.439253
0.47047,0.083067,0.455042,0.821479,0.333479,0.999461,-0.027504,0.01605,-0.007927,-0.055289,0.031653,-0.016738,-0.00764,-0.028869,0.021963,0.885878,0.189413,0.299312,-8.964489,16.289383,21.617655,0.165059,-8.01408,-1.365654,7.364251
0.48048,0.083808,0.455157,0.821463,0.333177,0.999449,-0.028065,0.015622,-0.008323,-0.056416,0.030764,-0.017522,-0.009765,-0.02856,0.026459,0.8881,0.191091,0.292582,-8.964489,16.377161,21.956562,-0.669724,-8.848863,-1.71348,7.501755
0.49049,0.084646,0.455328,0.821403,0.332879,0.999436,-0.028645,0.015129,-0.008817,-0.057582,0.029741,-0.018501,-0.012195,-0.017377,0.032866,0.899952,0.197804,0.289217,-8.964489,16.377161,21.956562,-1.295811,-9.961906,-1.296089,7.551756
0.5005,0.085569,0.455588,0.82133,0.332467,0.999418,-0.029344,0.014651,-0.00943,-0.058988,0.028734,-0.019719,-0.019175,-0.008348,0.027046,0.911063,0.192769,0.292021,-8.964489,16.728268,21.871836,-0.600159,-11.701036,-0.809133,7.164245
0.51051,0.08653,0.455942,0.821291,0.33183,0.999389,-0.030247,0.014277,-0.010137,-0.060808,0.027927,-0.021136,-0.009506,0.000484,0.011456,0.911063,0.193142,0.309781,-8.964489,16.728268,21.871836,1.556363,-13.579297,-0.461306,7.414252
0.52052,0.087467,0.456335,0.821425,0.33071,0.999342,-0.031593,0.014167,-0.010829,-0.063519,0.027634,-0.02255,0.007206,0.016422,-0.009267,0.912174,0.198363,0.338197,-8.636499,16.552713,21.787109,6.98245,-15.874949,-1.365654,7.35175
0.53053,0.088322,0.456769,0.821549,0.329574,0.999292,-0.032909,0.014145,-0.01153,-0.066171,0.027514,-0.023987,0.015371,0.010296,-0.019366,0.901804,0.196126,0.34474,-8.636499,16.552713,21.787109,7.538972,-15.387993,-0.670002,7.501755
0.54054,0.08909,0.457182,0.821696,0.328426,0.99924,-0.034205,0.014192,-0.012174,-0.068784,0.027534,-0.025314,0.021221,0.007706,-0.028932,0.895508,0.193888,0.351844,-8.636499,16.640491,21.956562,8.165059,-14.55321,-0.670002,7.439253
0.55055,0.08983,0.457502,0.821808,0.327497,0.999196,-0.035306,0.014129,-0.012729,-0.071001,0.027341,-0.026448,0.020996,0.016722,-0.026357,0.904026,0.199295,0.352592,-8.636499,16.640491,21.956562,6.078102,-12.81408,-1.017828,7.264247
0.56056,0.090621,0.457701,0.821827,0.326952,0.999166,-0.036092,0.013802,-0.013215,-0.072578,0.026629,-0.027418,0.025582,0.026241,-0.01847,0.911063,0.211602,0.352031,-8.554502,16.640491,21.278748,1.695493,-10.93582,-1.43522,7.526756
0.57057,0.091444,0.457651,0.821919,0.326561,0.999143,-0.036814,0.013295,-0.013464,-0.074015,0.025579,-0.027896,0.011578,0.023209,-0.017099,0.917359,0.202465,0.342497,-8.554502,16.640491,21.278748,0.095493,-9.405384,-4.148263,7.564257
0.58058,0.092306,0.457512,0.821968,0.326391,0.999129,-0.037366,0.012622,-0.013657,-0.075103,0.024205,-0.028246,-0.017861,-0.006997,-0.025979,0.90847,0.16536,0.321371,-8.718497,16.552713,21.448202,-2.547985,-8.361906,-4.77435,7.251747
0.59059,0.09327,0.457529,0.821794,0.326531,0.999124,-0.037617,0.011767,-0.014087,-0.075591,0.022456,-0.029046,-0.023685,-0.004436,-0.018431,0.915507,0.166292,0.312959,-8.718497,16.552713,21.448202,-6.652333,-8.501037,-2.200437,7.364251
0.6006,0.09421,0.457584,0.821555,0.326785,0.999122,-0.037737,0.01089,-0.01456,-0.075814,0.020664,-0.029927,-0.0418,-0.012335,-0.011961,0.920877,0.1538,0.294825,-8.718497,16.640491,21.363474,-7.834941,-7.874949,-1.296089,7.264247
