DateTime,UnixTimestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Roll,Pitch,Yaw
2026-04-19 23:55:28.969,1776614128969,-0.9794922,-0.088378906,-0.16455078,-0.30517578,-0.5493164,0.0,0.0,0.0,0.0,-153.27026,78.42041,-104.59534
2026-04-19 23:55:28.982,1776614128982,-0.9794922,-0.088378906,-0.16455078,-0.30517578,-0.5493164,0.0,0.0,0.0,0.0,-153.2373,78.43689,-104.59534
2026-04-19 23:55:29.068,1776614129068,-0.9814453,-0.09082031,-0.16894531,0.061035156,-2.5024414,0.0,0.0,0.0,0.0,-153.2373,78.43689,-104.59534
2026-04-19 23:55:29.080,1776614129080,-0.9814453,-0.09082031,-0.16894531,0.061035156,-2.5024414,0.0,0.0,0.0,0.0,-152.77039,78.59619,-104.23828
2026-04-19 23:55:29.168,1776614129168,-0.98583984,-0.08984375,-0.16992188,0.36621094,-0.9765625,0.0,0.0,0.0,0.0,-152.77039,78.59619,-104.23828
2026-04-19 23:55:29.180,1776614129180,-0.98583984,-0.08984375,-0.16992188,0.36621094,-0.9765625,0.0,0.0,0.0,0.0,-152.30347,78.73901,-103.87573
2026-04-19 23:55:29.268,1776614129268,-0.98291016,-0.09033203,-0.16601562,0.30517578,-1.4038086,0.0,0.0,0.0,0.0,-152.30347,78.73901,-103.87573
2026-04-19 23:55:29.279,1776614129279,-0.98291016,-0.09033203,-0.16601562,0.30517578,-1.4038086,0.0,0.0,0.0,0.0,-151.93542,78.84888,-103.568115
2026-04-19 23:55:29.368,1776614129368,-0.98583984,-0.091308594,-0.16503906,0.12207031,-0.4272461,0.0,0.0,0.0,0.0,-151.93542,78.84888,-103.568115
2026-04-19 23:55:29.379,1776614129379,-0.98583984,-0.091308594,-0.16503906,0.12207031,-0.4272461,0.0,0.0,0.0,0.0,-151.68823,78.914795,-103.38135
2026-04-19 23:55:29.467,1776614129467,-0.98583984,-0.08935547,-0.16210938,0.24414062,-0.18310547,0.0,0.0,0.0,0.0,-151.68823,78.914795,-103.38135
2026-04-19 23:55:29.479,1776614129479,-0.98583984,-0.08935547,-0.16210938,0.24414062,-0.18310547,0.0,0.0,0.0,0.0,-151.5509,78.93677,-103.31543
2026-04-19 23:55:29.567,1776614129567,-0.984375,-0.08984375,-0.16210938,0.061035156,0.061035156,0.24414062,0.0,0.0,0.0,-151.5509,78.93677,-103.31543
2026-04-19 23:55:29.579,1776614129579,-0.984375,-0.08984375,-0.16210938,0.061035156,0.061035156,0.24414062,0.0,0.0,0.0,-151.58936,78.95874,-103.39783
2026-04-19 23:55:29.667,1776614129667,-0.9848633,-0.08984375,-0.16455078,-0.061035156,0.0,0.061035156,0.0,0.0,0.0,-151.58936,78.95874,-103.39783
2026-04-19 23:55:29.678,1776614129678,-0.9848633,-0.08984375,-0.16455078,-0.061035156,0.0,0.061035156,0.0,0.0,0.0,-151.52893,78.97522,-103.39783
2026-04-19 23:55:29.767,1776614129767,-0.98535156,-0.08886719,-0.16210938,-0.061035156,-0.061035156,0.12207031,0.0,0.0,0.0,-151.52893,78.97522,-103.39783
2026-04-19 23:55:29.778,1776614129778,-0.98535156,-0.08886719,-0.16210938,-0.061035156,-0.061035156,0.12207031,0.0,0.0,0.0,-151.5509,78.95874,-103.5022
2026-04-19 23:55:29.866,1776614129866,-0.9838867,-0.09082031,-0.16845703,0.18310547,0.0,0.061035156,0.0,0.0,0.0,-151.5509,78.95874,-103.5022
2026-04-19 23:55:29.878,1776614129878,-0.9838867,-0.09082031,-0.16845703,0.18310547,0.0,0.061035156,0.0,0.0,0.0,-151.5509,78.96973,-103.601074
2026-04-19 23:55:29.966,1776614129966,-0.99121094,-0.09033203,-0.16699219,0.36621094,0.0,0.24414062,0.0,0.0,0.0,-151.5509,78.96973,-103.601074
2026-04-19 23:55:29.978,1776614129978,-0.99121094,-0.09033203,-0.16699219,0.36621094,0.0,0.24414062,0.0,0.0,0.0,-151.60034,78.94226,-103.76587
2026-04-19 23:55:30.066,1776614130066,-0.9916992,-0.091308594,-0.18115234,-0.24414062,3.7841797,0.0,0.0,0.0,0.0,-151.60034,78.94226,-103.76587
2026-04-19 23:55:30.077,1776614130077,-0.9916992,-0.091308594,-0.18115234,-0.24414062,3.7841797,0.0,0.0,0.0,0.0,-151.94092,78.82141,-104.13391
2026-04-19 23:55:30.166,1776614130166,-0.98339844,-0.087890625,-0.16601562,-1.2817383,0.24414062,0.24414062,0.0,0.0,0.0,-151.94092,78.82141,-104.13391
2026-04-19 23:55:30.177,1776614130177,-0.98339844,-0.087890625,-0.16601562,-1.2817383,0.24414062,0.24414062,0.0,0.0,0.0,-152.6825,78.585205,-104.88098
2026-04-19 23:55:30.265,1776614130265,-0.98535156,-0.08935547,-0.16601562,-0.8544922,1.6479492,0.0,0.0,0.0,0.0,-152.6825,78.585205,-104.88098
2026-04-19 23:55:30.277,1776614130277,-0.98535156,-0.08935547,-0.16601562,-0.8544922,1.6479492,0.0,0.0,0.0,0.0,-152.97363,78.51929,-105.14465
2026-04-19 23:55:30.365,1776614130365,-0.9814453,-0.087890625,-0.171875,-0.79345703,0.61035156,0.061035156,0.0,0.0,0.0,-152.97363,78.51929,-105.14465
2026-04-19 23:55:30.376,1776614130376,-0.9814453,-0.087890625,-0.171875,-0.79345703,0.61035156,0.061035156,0.0,0.0,0.0,-153.18787,78.47534,-105.36438
2026-04-19 23:55:30.465,1776614130465,-0.98339844,-0.087402344,-0.1694336,-0.5493164,0.91552734,0.0,0.0,0.0,0.0,-153.18787,78.47534,-105.36438
2026-04-19 23:55:30.476,1776614130476,-0.98339844,-0.087402344,-0.1694336,-0.5493164,0.91552734,0.0,0.0,0.0,0.0,-153.3966,78.41492,-105.56763
