timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,roll,pitch,yaw
1768033858917,-0.77783203,-0.119140625,0.26611328,-18.676758,12.939453,7.1411133,0.0,0.0,0.0,-31.464844,82.83142,-56.607056
1768033858927,-0.77783203,-0.119140625,0.26611328,-18.676758,12.939453,7.1411133,0.0,0.0,0.0,-43.599243,85.319824,-66.884766
1768033859015,-1.0361328,0.07421875,0.091308594,-15.74707,-103.57666,31.61621,0.0,0.0,0.0,-43.599243,85.319824,-66.884766
1768033859026,-1.0361328,0.07421875,0.091308594,-15.74707,-103.57666,31.61621,0.0,0.0,0.0,-14.040527,82.11182,-34.678345
1768033859114,-0.8598633,-0.087890625,0.06640625,13.916016,37.17041,-1.159668,0.0,0.0,0.0,-14.040527,82.11182,-34.678345
1768033859128,-0.8598633,-0.087890625,0.06640625,13.916016,37.17041,-1.159668,0.0,0.0,0.0,-0.18676758,79.63989,-21.571655
1768033859214,-0.97265625,-0.07324219,0.12597656,13.916016,-8.666992,-1.6479492,0.0,0.0,0.0,-0.18676758,79.63989,-21.571655
1768033859226,-0.97265625,-0.07324219,0.12597656,13.916016,-8.666992,-1.6479492,0.0,0.0,0.0,-1.9061279,81.37024,-25.532227
1768033859314,-1.1870117,-0.10839844,-0.051757812,7.080078,19.53125,-4.4555664,0.0,0.0,0.0,-1.9061279,81.37024,-25.532227
1768033859325,-1.1870117,-0.10839844,-0.051757812,7.080078,19.53125,-4.4555664,0.0,0.0,0.0,-4.625244,81.95801,-29.987183
1768033859414,-1.2011719,-0.016601562,0.16455078,-13.793945,12.390137,-6.713867,0.0,0.0,0.0,-4.625244,81.95801,-29.987183
1768033859425,-1.2011719,-0.016601562,0.16455078,-13.793945,12.390137,-6.713867,0.0,0.0,0.0,-13.326416,84.64966,-38.182983
1768033859513,-0.7265625,0.05517578,0.28027344,13.305664,22.644043,-13.793945,0.0,0.0,0.0,-13.326416,84.64966,-38.182983
1768033859525,-0.7265625,0.05517578,0.28027344,13.305664,22.644043,-13.793945,0.0,0.0,0.0,-29.882812,85.28137,-54.475708
1768033859613,-1.0917969,-0.044921875,0.14746094,-14.892578,-81.90918,10.986328,0.0,0.0,0.0,-29.882812,85.28137,-54.475708
1768033859625,-1.0917969,-0.044921875,0.14746094,-14.892578,-81.90918,10.986328,0.0,0.0,0.0,-29.558716,84.243164,-56.288452
1768033859713,-0.9067383,0.017089844,0.021972656,-1.0375977,30.761719,-10.375977,0.0,0.0,0.0,-29.558716,84.243164,-56.288452
1768033859724,-0.9067383,0.017089844,0.021972656,-1.0375977,30.761719,-10.375977,0.0,0.0,0.0,-16.33667,78.76648,-41.51184
1768033859812,-0.95996094,-0.03515625,0.13427734,-14.526367,-18.798828,1.5869141,0.0,0.0,0.0,-16.33667,78.76648,-41.51184
1768033859824,-0.95996094,-0.03515625,0.13427734,-14.526367,-18.798828,1.5869141,0.0,0.0,0.0,-20.615845,79.96948,-45.31311
1768033859912,-1.2490234,0.001953125,-0.023925781,-5.2490234,2.4414062,1.2207031,0.0,0.0,0.0,-20.615845,79.96948,-45.31311
1768033859924,-1.2490234,0.001953125,-0.023925781,-5.2490234,2.4414062,1.2207031,0.0,0.0,0.0,-20.203857,79.38721,-44.23645
1768033860012,-1.1650391,-0.12402344,0.22949219,3.7841797,42.663574,4.5166016,0.0,0.0,0.0,-20.203857,79.38721,-44.23645
1768033860023,-1.1650391,-0.12402344,0.22949219,3.7841797,42.663574,4.5166016,0.0,0.0,0.0,-24.89502,82.24365,-49.13086
1768033860111,-0.70654297,-0.106933594,0.2734375,-5.004883,30.212402,3.1738281,0.0,0.0,0.0,-24.89502,82.24365,-49.13086
1768033860123,-0.70654297,-0.106933594,0.2734375,-5.004883,30.212402,3.1738281,0.0,0.0,0.0,-45.34607,84.92432,-69.90051
1768033860211,-1.0615234,0.029296875,0.14794922,-41.3208,-99.06006,23.376465,0.0,0.0,0.0,-45.34607,84.92432,-69.90051
1768033860223,-1.0615234,0.029296875,0.14794922,-41.3208,-99.06006,23.376465,0.0,0.0,0.0,-25.32898,83.75427,-48.26294
1768033860312,-0.92578125,-0.080078125,0.024414062,14.6484375,41.137695,-0.061035156,0.0,0.0,0.0,-25.32898,83.75427,-48.26294
