0.894952,0.151935,0.372034,-9.86646,15.148283,23.735825,4.130276,-1.614742,-1.09185,0
0.894582,0.153613,0.370165,-9.86646,15.148283,23.735825,2.32158,-1.475219,-0.88303,0
0.896063,0.149511,0.368669,-9.784463,14.972729,23.56637,2.18245,-1.544515,-0.743922,0
0.895878,0.148952,0.371099,-9.784463,14.972729,23.56637,2.32158,-1.683645,-0.535469,0
0.895508,0.155105,0.374278,-9.374476,14.972729,23.56637,2.460711,-1.683645,-0.327164,0
0.895322,0.157156,0.372408,-9.374476,14.972729,23.56637,2.947667,-1.822776,0.02042,0
0.892359,0.158648,0.369417,-9.374476,15.148283,23.56637,3.991146,-2.031471,0.298733,0
0.899952,0.156783,0.377082,-9.374476,15.148283,23.56637,6.217233,-2.587993,0.229366,0
0.895693,0.157715,0.373717,-9.538471,15.323837,23.990005,4.686798,-1.961906,0.507678,0
0.893471,0.157342,0.372034,-9.538471,15.323837,23.990005,4.895494,-1.961906,0.577149,0
0.892174,0.154918,0.36923,-9.620468,15.411613,23.651098,4.965059,-2.031471,0.576981,0
0.897359,0.154732,0.369978,-9.620468,15.411613,23.651098,5.24332,-2.240167,0.646524,0
0.897545,0.156037,0.367734,-9.046487,15.499391,23.396917,3.712885,-1.892341,0.994475,0
0.897359,0.155478,0.3668,-9.046487,15.499391,23.396917,3.991146,-1.892341,0.716338,0
0.897359,0.156783,0.368108,-9.702466,15.323837,23.312191,4.130276,-1.822776,0.785955,0
0.896619,0.157156,0.365491,-9.702466,15.323837,23.312191,4.617232,-1.961906,0.855862,0
0.894211,0.160512,0.361378,-9.456473,15.148283,23.651098,5.52158,-2.101037,0.856276,0
0.89847,0.160699,0.366052,-9.456473,15.148283,23.651098,7.817233,-2.657558,0.787415,0
0.896433,0.162004,0.36493,-9.456473,15.499391,23.227463,7.538972,-2.587993,0.927393,0
0.893471,0.163123,0.363061,-9.456473,15.499391,23.227463,8.791145,-3.21408,0.997659,0
0.895322,0.161817,0.364182,-9.374476,15.587168,23.312191,11.852015,-3.979297,0.859445,0
0.892359,0.164428,0.362313,-9.374476,15.587168,23.312191,13.591146,-4.187993,1.138694,0
0.893471,0.170208,0.365491,-9.292479,15.674945,23.396917,15.399841,-4.605384,1.347389,0
0.89773,0.175429,0.366426,-9.292479,15.674945,23.396917,18.182449,-5.161906,1.416954,0
0.894952,0.185125,0.382877,-9.538471,15.674945,23.396917,15.817232,-4.466254,1.277824,0
0.890878,0.179158,0.371847,-9.538471,15.674945,23.396917,14.84332,-4.67495,1.208259,0
0.890508,0.170581,0.361939,-9.456473,15.850498,23.227463,12.756363,-4.535819,1.695215,0
0.894396,0.167784,0.356518,-9.456473,15.850498,23.227463,12.060711,-4.257558,1.764781,0
0.895322,0.1717,0.362874,-9.456473,16.289383,22.803829,11.017233,-4.118428,1.764781,0
0.89847,0.187549,0.369791,-9.456473,16.289383,22.803829,9.278102,-4.118428,2.182172,0
0.896248,0.195939,0.365678,-9.210482,16.201607,22.888557,7.191145,-3.979297,2.808259,0
0.895322,0.203025,0.350909,-9.210482,16.201607,22.888557,6.495493,-3.701036,3.295215,0
0.893656,0.20377,0.338945,-9.046487,16.026052,22.719103,6.286798,-3.561906,3.434346,0
0.892174,0.201533,0.335206,-9.046487,16.026052,22.719103,6.565059,-3.631471,2.321302,0
0.894767,0.204889,0.344366,-8.964489,16.026052,22.973284,6.078102,-4.327124,1.48652,0
0.894211,0.215517,0.35147,-8.964489,16.026052,22.973284,4.130276,-5.648863,0.929998,0
0.891804,0.211602,0.352218,-9.210482,16.289383,22.719103,4.060711,-6.55321,0.721302,0
0.891434,0.206008,0.34231,-9.210482,16.289383,22.719103,6.425928,-7.318428,0.582172,0
0.894396,0.193515,0.342497,-9.210482,16.289383,22.464922,9.138971,-7.805385,0.02565,0
0.893471,0.182328,0.343992,-9.210482,16.289383,22.464922,10.530276,-7.805385,-0.530872,0
0.892915,0.18587,0.352405,-8.882492,16.552713,22.295469,11.434624,-8.153211,-0.948263,0
0.891248,0.195566,0.353526,-8.882492,16.552713,22.295469,9.834624,-8.153211,-0.461306,0
0.891248,0.207873,0.352592,-9.210482,16.201607,22.210743,7.817233,-8.153211,0.16478,0
0.898285,0.211042,0.343992,-9.210482,16.201607,22.210743,5.799841,-7.874949,0.512607,0
0.90347,0.206008,0.338945,-9.046487,16.552713,22.126015,4.199841,-7.457558,0.303911,0
0.900137,0.197804,0.327728,-9.046487,16.552713,22.126015,3.156363,-7.318428,-0.252611,0
0.892545,0.190905,0.312585,-8.964489,16.289383,21.617655,1.695493,-7.248863,-0.878698,0
0.885878,0.189413,0.299312,-8.964489,16.289383,21.617655,0.165059,-8.01408,-1.365654,0
0.8881,0.191091,0.292582,-8.964489,16.377161,21.956562,-0.669724,-8.848863,-1.71348,0
0.899952,0.197804,0.289217,-8.964489,16.377161,21.956562,-1.295811,-9.961906,-1.296089,0
0.911063,0.192769,0.292021,-8.964489,16.728268,21.871836,-0.600159,-11.701036,-0.809133,0
0.911063,0.193142,0.309781,-8.964489,16.728268,21.871836,1.556363,-13.579297,-0.461306,0
0.912174,0.198363,0.338197,-8.636499,16.552713,21.787109,6.98245,-15.874949,-1.365654,0
0.901804,0.196126,0.34474,-8.636499,16.552713,21.787109,7.538972,-15.387993,-0.670002,0
0.895508,0.193888,0.351844,-8.636499,16.640491,21.956562,8.165059,-14.55321,-0.670002,0
0.904026,0.199295,0.352592,-8.636499,16.640491,21.956562,6.078102,-12.81408,-1.017828,0
0.911063,0.211602,0.352031,-8.554502,16.640491,21.278748,1.695493,-10.93582,-1.43522,0
0.917359,0.202465,0.342497,-8.554502,16.640491,21.278748,0.095493,-9.405384,-4.148263,0
0.90847,0.16536,0.321371,-8.718497,16.552713,21.448202,-2.547985,-8.361906,-4.77435,0
